Filenames,epidural,intraparenchymal,subarachnoid
test_2561.png,0.12707743048667908,0.36371493339538574,0.4534384608268738
test_2489.png,0.07868020981550217,0.4940684139728546,0.3279224634170532
test_2605.png,0.014671055600047112,0.12049100548028946,0.2698313295841217
test_1959.png,0.1031235083937645,0.5179027915000916,0.4794534146785736
test_3979.png,0.0011892080074176192,0.019486689940094948,0.026887837797403336
test_1226.png,0.1998659074306488,0.5744619369506836,0.47862544655799866
test_1363.png,0.02665981836616993,0.6773727536201477,0.4519144594669342
test_915.png,0.1867658793926239,0.6133869886398315,0.480318158864975
test_1674.png,0.03609644994139671,0.4125179052352905,0.4645410478115082
test_2551.png,0.04424014315009117,0.5921489596366882,0.3478434383869171
test_1928.png,0.014501097612082958,0.7191768288612366,0.41490140557289124
test_1233.png,0.1235240027308464,0.4044705033302307,0.3109060227870941
test_1581.png,0.15843354165554047,0.6066524386405945,0.4740399420261383
test_1282.png,0.17430168390274048,0.4787355959415436,0.34162870049476624
test_2585.png,0.038943078368902206,0.25259464979171753,0.18305374681949615
test_3643.png,0.1194988340139389,0.4245283007621765,0.48413461446762085
test_328.png,0.009276988916099072,0.7271263599395752,0.28368106484413147
test_1120.png,0.0032209577038884163,0.7137723565101624,0.48014360666275024
test_787.png,0.11404932290315628,0.554909884929657,0.5402387976646423
test_1847.png,0.14706824719905853,0.5351861119270325,0.39352020621299744
test_3655.png,0.1392023265361786,0.32644715905189514,0.3812253773212433
test_823.png,0.10246812552213669,0.33121198415756226,0.3893390893936157
test_2295.png,0.15750783681869507,0.6330514550209045,0.4636726677417755
test_463.png,0.1702364832162857,0.4859794080257416,0.4531083106994629
test_3924.png,0.03727618604898453,0.5424026250839233,0.32029426097869873
test_495.png,0.11041443049907684,0.43620219826698303,0.5345989465713501
test_3002.png,0.02719820849597454,0.19459430873394012,0.4788760542869568
test_374.png,0.02886594831943512,0.6084553003311157,0.5364474654197693
test_299.png,0.13924656808376312,0.5624553561210632,0.46062859892845154
test_839.png,0.00830234494060278,0.5499863624572754,0.5499395728111267
test_3776.png,0.03170138970017433,0.34308844804763794,0.42951831221580505
test_3302.png,0.007944046519696712,0.2243098020553589,0.20604455471038818
test_609.png,0.20486561954021454,0.5934804677963257,0.48273956775665283
test_1261.png,0.08126942813396454,0.5506370067596436,0.4402354955673218
test_2187.png,0.2129683792591095,0.5033162832260132,0.4442456364631653
test_2798.png,0.028759043663740158,0.400041788816452,0.2849808633327484
